block;stress;inok;root;shoot;ramet
1;drought;NM;0,122322581;0,2713;0,4246
1;drought;RI;0,08972931;0,338;0,2148
1;drought;FM;0,143505882;0,2759;0,3267
1;drought;EC;0,143012621;0,3132;0,371
1;drought;RI_FM;0,119497059;0,2935;0,2283
1;drought;RI_EC;0,172723301;0,4431;0,6218
1;drought;FM_EC;0,154005155;0,2787;0,2389
1;drought;ALL;0,159963462;0,3751;0,4321
1;pathogen;NM;0,154877465;0,3979;0,4064
1;pathogen;RI;0,204221705;0,4197;1,2617
1;pathogen;FM;0,130974725;0,3293;0,8303
1;pathogen;EC;0,120410753;0,5438;0,6848
1;pathogen;RI_FM;0,190935385;0,4835;1,2475
1;pathogen;RI_EC;0,292068156;0,5403;1,3375
1;pathogen;FM_EC;0,189962264;0,4094;1,2071
1;pathogen;ALL;0,185099338;0,5137;0,9245
1;herbivory;NM;0,049046512;0,2072;0,0725
1;herbivory;RI;0,191311765;0,5626;0,7305
1;herbivory;FM;0,133359292;0,3414;0,7101
1;herbivory;EC;0,124633588;0,2246;1,0195
1;herbivory;RI_FM;0,092368421;0,1499;0,6382
1;herbivory;RI_EC;0,107646341;0,1873;0,9034
1;herbivory;FM_EC;0,094376471;0,4171;0,3749
1;herbivory;ALL;0,123014773;0,2804;1,1249
1;control;NM;0,217650246;0,5855;0,8851
1;control;RI;0,344559091;0,6045;1,5385
1;control;FM;0,138923077;0,5222;0,7353
1;control;EC;0,217583333;0,5049;1,2988
1;control;RI_FM;0,216561963;0,5068;1,3703
1;control;RI_EC;0,26669162;0,6057;1,5068
1;control;FM_EC;0,143624348;0,4355;1,0125
1;control;ALL;0,180901493;0,2797;1,5697
2;drought;NM;0,166813861;0,2726;0,3636
2;drought;RI;0,142753846;0,3213;0,4623
2;drought;FM;0,0892375;0,1282;0,2392
2;drought;EC;0,098135484;0,1621;0,2432
2;drought;RI_FM;0,130038462;0,4227;0,4599
2;drought;RI_EC;0,154248649;0,4229;0,4612
2;drought;FM_EC;0,103750909;0,1809;0,2269
2;drought;ALL;0,154221053;0,3542;0,7002
2;pathogen;NM;0,072615385;0,3265;0,2099
2;pathogen;RI;0,237845399;0,369;0,6687
2;pathogen;FM;0,128964602;0,4075;0,5114
2;pathogen;EC;0,23160452;0,3759;1,4233
2;pathogen;RI_FM;0,220228571;0,5092;1,2798
2;pathogen;RI_EC;0,220216484;0,4568;1,4952
2;pathogen;FM_EC;0,3632;0,4225;1,3102
2;pathogen;ALL;0,3254;0,4408;1,2902
2;herbivory;NM;0,073083673;0,1407;0,2277
2;herbivory;RI;0,143788235;0,1891;1,3644
2;herbivory;FM;0,036;0,146;0,1046
2;herbivory;EC;0,093462963;0,247;0,6948
2;herbivory;RI_FM;0,115467568;0,2546;1,0281
2;herbivory;RI_EC;0,097907463;0,2263;0,9981
2;herbivory;FM_EC;0,098193506;0,1323;0,711
2;herbivory;ALL;0,112637838;0,2865;0,8143
2;control;NM;0,085188889;0,4147;0,106
2;control;RI;0,248632544;0,5945;1,7368
2;control;FM;0,130239252;0,3338;0,6072
2;control;EC;0,289231518;0,5957;1,88204
2;control;RI_FM;0,216304242;0,5194;1,3731
2;control;RI_EC;0,286432584;0,6075;1,6025
2;control;FM_EC;0,19662067;0,5496;0,9746
2;control;ALL;0,258534247;0,5018;1,4351
3;drought;NM;0,14434186;0,2175;0,2731
3;drought;RI;0,20213964;0,4249;0,4439
3;drought;FM;0,131991304;0,1961;0,1054
3;drought;EC;0,129890164;0,1425;0,1627
3;drought;RI_FM;0,103278571;0,3227;0,3634
3;drought;RI_EC;0,13887561;0,4011;0,2934
3;drought;FM_EC;0,150704878;0,1845;0,1533
3;drought;ALL;0,233582143;0,4078;0,5986
3;pathogen;NM;0,08208625;0,2427;0,2329
3;pathogen;RI;0,3396125;0,4348;1,303
3;pathogen;FM;0,133997143;0,281;0,6008
3;pathogen;EC;0,185387283;0,3922;1,1983
3;pathogen;RI_FM;0,232412222;0,4329;1,4881
3;pathogen;RI_EC;0,258388525;0,6177;1,195
3;pathogen;FM_EC;0,13752518;0,2718;0,6435
3;pathogen;ALL;0,187348966;0,4499;0,8553
3;herbivory;NM;0,055092105;0,2055;0,0448
3;herbivory;RI;0,31831466;0,3361;1,1968
3;herbivory;FM;0,137377778;0,2352;0,5582
3;herbivory;EC;0,098707692;0,1969;0,4761
3;herbivory;RI_FM;0,081322449;0,2238;0,556
3;herbivory;RI_EC;0,153634343;0,3316;1,0475
3;herbivory;FM_EC;0,0596;0,1623;0,3396
3;herbivory;ALL;0,121457895;0,3094;0,6871
3;control;NM;0,153938129;0,413;0,6436
3;control;RI;0,344197368;0,3638;1,3236
3;control;FM;0,159383784;0,4311;0,9141
3;control;EC;0,31694;0,4361;1,9592
3;control;RI_FM;0,236785;0,5023;1,3993
3;control;RI_EC;0,311095652;0,7093;1,7789
3;control;FM_EC;0,137099145;0,2829;0,6599
3;control;ALL;0,280751515;0,6066;1,8957
4;drought;NM;0,300431757;0,344;1,5001
4;drought;RI;0,14196;0,2897;0,3676
4;drought;FM;0,116864865;0,16;0,0556
4;drought;EC;0,120533333;0,1464;0,2158
4;drought;RI_FM;0,101052632;0,3194;0,3571
4;drought;RI_EC;0,132547059;0,4019;0,3957
4;drought;FM_EC;0,099503571;0,1977;0,0501
4;drought;ALL;0,15412069;0,4191;0,2927
4;pathogen;NM;0,127762295;0,3182;0,3841
4;pathogen;RI;0,268209497;0,3346;1,2797
4;pathogen;FM;0,198010465;0,3004;0,9771
4;pathogen;EC;0,118201031;0,4695;0,3415
4;pathogen;RI_FM;0,081657353;0,5438;1,5507
4;pathogen;RI_EC;0,344248333;0,3277;0,6623
